gps_time,date,time,latitude,longitude,altitude,qx,qy,qz,qw,image
1422873996,2025-02-06,10:46:18,4.76946338547774,-74.0007804788915,2652.3660814762115,-0.6599931207868976,-0.0925894331541687,-0.7315673729270743,0.1436857920810834,1738856779261.jpg
1422873998,2025-02-06,10:46:20,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6598884780365132,-0.0924878848824285,-0.7317034190539516,0.1435383858685034,1738856780239.jpg
1422873999,2025-02-06,10:46:21,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6598895278238206,-0.0923755898023244,-0.73170505741103,0.1435975971453391,1738856781253.jpg
1422874000,2025-02-06,10:46:22,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6598432225270062,-0.0922723946583081,-0.7317241848819133,0.1437794147851928,1738856782256.jpg
1422874001,2025-02-06,10:46:23,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6599734195396773,-0.0921747654870417,-0.7315941667789096,0.1439060146490046,1738856783274.jpg
1422874002,2025-02-06,10:46:24,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6607970901533153,-0.0915947069950668,-0.7308921582526765,0.144063222815226,1738856784291.jpg
1422874003,2025-02-06,10:46:25,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6608246013369065,-0.0916153914927831,-0.7308646378705166,0.144063582645559,1738856785314.jpg
1422874005,2025-02-06,10:46:27,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6608021564588641,-0.0918676568775483,-0.7308758654351551,0.1439494508585464,1738856787342.jpg
1422874006,2025-02-06,10:46:28,4.768527022096893,-74.00108916023123,2660.199633240299,-0.66077519738394,-0.091631150020407,-0.7309903897722899,0.1436419994269226,1738856788358.jpg
1422874007,2025-02-06,10:46:29,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6607085260984752,-0.0916959082397276,-0.7310580576326489,0.1435630211251264,1738856789367.jpg
1422874008,2025-02-06,10:46:30,4.768527022096893,-74.00108916023123,2660.199633240299,-0.6606680914533151,-0.0916070119791829,-0.7311420701579409,0.1433774636219509,1738856790365.jpg
1422874010,2025-02-06,10:46:32,4.7685270220968885,-74.00108916023125,2660.1996332407,-0.6604833343573816,-0.0918815337503123,-0.7313200238310171,0.143145449238826,1738856792401.jpg
1422874011,2025-02-06,10:46:33,4.7685270220968885,-74.00108916023125,2660.1996332407,-0.6604160404900842,-0.0919426048019849,-0.7314062127334519,0.1429764540494721,1738856793425.jpg
1422874013,2025-02-06,10:46:35,4.7685270220968885,-74.00108916023125,2660.1996332407,-0.6603695566725436,-0.0914387094828354,-0.7314971100190844,0.1430490175735981,1738856795431.jpg
1422874014,2025-02-06,10:46:36,4.7685270220968885,-74.00108916023125,2660.1996332407,-0.6604433406631929,-0.0914487761059339,-0.7314255165214133,0.1430681983579959,1738856796442.jpg
1422874016,2025-02-06,10:46:38,4.7685270220968885,-74.00108916023125,2660.1996332407,-0.6615952242681148,-0.0917381900458629,-0.7304904676715619,0.1423363493351385,1738856798466.jpg
1422874017,2025-02-06,10:46:39,4.768515581857545,-74.00103269616822,2670.010996701196,-0.6625845897850695,-0.0932546943022578,-0.7291379330949082,0.1436771348996095,1738856799502.jpg
1422874018,2025-02-06,10:46:40,4.768516443415821,-74.00103450742027,2670.0109966974705,-0.6625423241536244,-0.098492716305642,-0.7276298287124462,0.1479585916028966,1738856800511.jpg
1422874019,2025-02-06,10:46:41,4.768494449242481,-74.00102360936866,2670.0333040058613,-0.6612460748791066,-0.1102339020213171,-0.7249950620870959,0.158063950880223,1738856801527.jpg
1422874020,2025-02-06,10:46:42,4.768484682451173,-74.00101239991983,2670.079644824378,-0.6613655432547113,-0.1213100563655798,-0.7212119839032385,0.1665315885457009,1738856802543.jpg
1422874021,2025-02-06,10:46:43,4.768473801110015,-74.00099930107483,2670.0710946973413,-0.646038045932527,-0.1183895003333501,-0.7333921311790564,0.1753704724636521,1738856803559.jpg
1422874022,2025-02-06,10:46:44,4.768466034869209,-74.00098579032107,2670.0385751910508,-0.6279948154845246,-0.114201111180558,-0.7485287684879035,0.1796808037962359,1738856804576.jpg
1422874023,2025-02-06,10:46:45,4.768462250031327,-74.00097685488333,2669.994412073865,-0.6275575900298987,-0.1198753122075968,-0.7499721079991146,0.1712988090136144,1738856805878.jpg
1422874024,2025-02-06,10:46:46,4.768461674839443,-74.00096885304372,2670.003531007096,-0.6301097190464157,-0.1226528023253472,-0.7467207288651425,0.1741440136260492,1738856806608.jpg
1422874025,2025-02-06,10:46:47,4.768457298138649,-74.00095438437752,2670.0169640686363,-0.643159859694406,-0.1327388322875677,-0.733584434907902,0.174870453899583,1738856807626.jpg
1422874026,2025-02-06,10:46:48,4.7684509330698965,-74.00094142794941,2670.0596740702167,-0.6482987277733897,-0.1253864616663839,-0.7277591680691502,0.1853472394449108,1738856808640.jpg
1422874028,2025-02-06,10:46:50,4.768427889674016,-74.00089692472395,2669.989419198595,-0.6512020651120572,-0.1003571153904822,-0.733969956017227,0.1647798927403926,1738856810658.jpg
1422874029,2025-02-06,10:46:51,4.768416361141215,-74.00087605450913,2669.8395810183138,-0.6547727616252761,-0.0849300569236419,-0.7355686025467468,0.1516520357095189,1738856811675.jpg
1422874030,2025-02-06,10:46:52,4.768400708306034,-74.00085402904024,2669.5230805333704,-0.6578688774460467,-0.0682770053713128,-0.735911139672224,0.1448499844293026,1738856812692.jpg
1422874031,2025-02-06,10:46:53,4.76838255735929,-74.00083045841875,2669.4862644476816,-0.6580842302475527,-0.060354097459846,-0.7359746489543723,0.1470500787136998,1738856813707.jpg
1422874032,2025-02-06,10:46:54,4.768368127483756,-74.00080668020247,2669.8239143528044,-0.6603982430975157,-0.060676738106478,-0.7346580733884919,0.1430736003084569,1738856814724.jpg
1422874033,2025-02-06,10:46:55,4.76834988018496,-74.00078401945707,2669.812178217806,-0.6598902068377376,-0.0709417526015452,-0.734969653869135,0.1390392985089866,1738856815742.jpg
1422874034,2025-02-06,10:46:56,4.768340526469515,-74.00075915031123,2669.360419499688,-0.6608209329983122,-0.0792426647041588,-0.7347797417037661,0.1309011956665757,1738856816758.jpg
1422874035,2025-02-06,10:46:57,4.768325137735919,-74.00074182369396,2669.201845152304,-0.6622663553778443,-0.0872672485415385,-0.734065830062638,0.1222096100756799,1738856817772.jpg
1422874036,2025-02-06,10:46:58,4.768310700542075,-74.00072056367284,2669.2014055717736,-0.6567459674837219,-0.0804445054022446,-0.7408973294314085,0.1152590388695699,1738856818791.jpg
1422874037,2025-02-06,10:46:59,4.768304332301152,-74.00069828085218,2669.086312251165,-0.6615454848583399,-0.054850965665833,-0.7412993607044552,0.0991169443037739,1738856819809.jpg
1422874038,2025-02-06,10:47:00,4.768294817713994,-74.00067936060073,2669.505082127638,-0.6613195514752717,-0.032598429925341,-0.7437724401403282,0.0916315072265876,1738856820824.jpg
1422874039,2025-02-06,10:47:01,4.768277386874189,-74.0006607865191,2669.4816819531843,-0.6658719188350419,-0.0214989215634891,-0.7419379849132233,0.0753686561691406,1738856821841.jpg
1422874040,2025-02-06,10:47:02,4.7682573781121205,-74.0006369179544,2670.0786594795063,-0.6649286789996887,-0.012077504656765,-0.7440183196112236,0.0645039724832585,1738856822857.jpg
1422874041,2025-02-06,10:47:03,4.768241087570105,-74.00061737554759,2669.80514381174,-0.6662094127767935,-0.0009386182401148,-0.7445069309850297,0.0432844278829954,1738856823875.jpg
1422874042,2025-02-06,10:47:04,4.768218170809519,-74.00059517558182,2670.1084585199133,-0.6717318385395386,0.0173975494863813,-0.7403176307730185,0.0200845280191719,1738856824890.jpg
1422874043,2025-02-06,10:47:05,4.768198199599535,-74.00058187633061,2670.129786525853,-0.6628997279955666,0.0350856348685227,-0.7478796604502407,0.0030028487698915,1738856825899.jpg
1422874045,2025-02-06,10:47:07,4.768154925857435,-74.00055199203514,2671.108745923266,-0.6683680286628275,0.0530174269511708,-0.7418732190133493,-0.0098734714535479,1738856827925.jpg
1422874046,2025-02-06,10:47:08,4.768133414052413,-74.00053755669921,2671.395360363648,-0.6639332948200781,0.0557859694249375,-0.7456813195829293,-0.0063226298753434,1738856828942.jpg
1422874047,2025-02-06,10:47:09,4.768108183544164,-74.00051788652155,2671.5728888614103,-0.6659686418473647,0.0459994692720891,-0.7445493222754272,-0.0040017135886018,1738856829941.jpg
1422874048,2025-02-06,10:47:10,4.768086002032868,-74.00049570718728,2671.5037510329857,-0.663677582765518,0.043563107348004,-0.7467477322405285,-0.0015073541087239,1738856830957.jpg
1422874049,2025-02-06,10:47:11,4.768063021920682,-74.00047521652783,2671.7051739860326,-0.6661220851158958,0.0468396543250129,-0.7443699345372459,-0.0009045471986694,1738856831960.jpg
1422874050,2025-02-06,10:47:12,4.768032809144411,-74.00045673963321,2671.754737164825,-0.6666875436636688,0.0566402104101707,-0.7431539470631222,-0.0064652303907021,1738856832974.jpg
1422874051,2025-02-06,10:47:13,4.768003696419465,-74.00043348867278,2671.657430496067,-0.6636804768932185,0.060038316594716,-0.7454706313216986,-0.0140434583138721,1738856833990.jpg
1422874053,2025-02-06,10:47:15,4.767947350585917,-74.00038833909264,2671.75671484787,-0.6548821874279065,0.0594813521910215,-0.7533005727022828,-0.0113864230224979,1738856835006.jpg
1422874054,2025-02-06,10:47:16,4.76791448048409,-74.00037135718127,2671.4091226700693,-0.6584947841000545,0.0485435614165135,-0.7509692636386888,-0.0085635831876611,1738856836017.jpg
1422874055,2025-02-06,10:47:17,4.767882349948311,-74.00034681157109,2671.470190906897,-0.6634839637624794,0.0459966941470047,-0.7466785512808395,0.0120166260106962,1738856837046.jpg
1422874056,2025-02-06,10:47:18,4.767851591207428,-74.00032165292815,2671.392154544592,-0.6583125352132989,0.0395077783530047,-0.7516424083715256,0.0098765148830472,1738856838060.jpg
1422874057,2025-02-06,10:47:19,4.76781995775554,-74.00030038486015,2671.0610317708924,-0.657410777935056,0.0549975159571615,-0.7515172910757151,0.0028406320892803,1738856839075.jpg
